[1/2] /usr/local/cuda/bin/nvcc -MD -MF norm.cuda.o.d -DTORCH_EXTENSION_NAME=run028_k050_a78415cba25b -DTORCH_API_INCLUDE_EXTENSION_H -isystem /workspace/sparsity-spillover/runs/028-2026-09-06-pythia14m-all-site-sparse-kernels/runtime/venv/lib/python3.12/site-packages/torch/include -isystem /workspace/sparsity-spillover/runs/028-2026-09-06-pythia14m-all-site-sparse-kernels/runtime/venv/lib/python3.12/site-packages/torch/include/torch/csrc/api/include -isystem /usr/local/cuda/include -isystem /usr/include/python3.12 -D__CUDA_NO_HALF_OPERATORS__ -D__CUDA_NO_HALF_CONVERSIONS__ -D__CUDA_NO_BFLOAT16_CONVERSIONS__ -D__CUDA_NO_HALF2_OPERATORS__ --expt-relaxed-constexpr -gencode=arch=compute_120,code=sm_120 --compiler-options '-fPIC' -O3 -lineinfo -std=c++17 -c /workspace/sparsity-spillover/runs/028-2026-09-06-pythia14m-all-site-sparse-kernels/candidates/k050/norm.cu -o norm.cuda.o 
[2/2] c++ norm.cuda.o -shared -L/workspace/sparsity-spillover/runs/028-2026-09-06-pythia14m-all-site-sparse-kernels/runtime/venv/lib/python3.12/site-packages/torch/lib -lc10 -lc10_cuda -ltorch_cpu -ltorch_cuda -ltorch -ltorch_python -L/usr/local/cuda/lib64 -lcudart -o run028_k050_a78415cba25b.so
{'pattern': 'large', 'rows': 2048, 'gate_a': False, 'gate_m': True, 'threshold': 0.01, 'numerically_equal_a': True, 'numerically_equal_m': True, 'zero_mask_equal_a': True, 'zero_mask_equal_m': True, 'max_abs_a': 0.0, 'max_abs_m': 0.0}
{'pattern': 'large', 'rows': 2048, 'gate_a': True, 'gate_m': True, 'threshold': 0.5, 'numerically_equal_a': True, 'numerically_equal_m': True, 'zero_mask_equal_a': True, 'zero_mask_equal_m': True, 'max_abs_a': 0.0, 'max_abs_m': 0.0}
{'pattern': 'boundary', 'rows': 2048, 'gate_a': False, 'gate_m': False, 'threshold': 0.0, 'numerically_equal_a': True, 'numerically_equal_m': True, 'zero_mask_equal_a': True, 'zero_mask_equal_m': True, 'max_abs_a': 0.0, 'max_abs_m': 0.0}
{'pattern': 'boundary', 'rows': 2048, 'gate_a': True, 'gate_m': False, 'threshold': 0.0, 'numerically_equal_a': True, 'numerically_equal_m': True, 'zero_mask_equal_a': True, 'zero_mask_equal_m': True, 'max_abs_a': 0.0, 'max_abs_m': 0.0}
{'pattern': 'boundary', 'rows': 2048, 'gate_a': False, 'gate_m': True, 'threshold': 0.01, 'numerically_equal_a': True, 'numerically_equal_m': True, 'zero_mask_equal_a': True, 'zero_mask_equal_m': True, 'max_abs_a': 0.0, 'max_abs_m': 0.0}
{'pattern': 'boundary', 'rows': 2048, 'gate_a': True, 'gate_m': True, 'threshold': 0.5, 'numerically_equal_a': True, 'numerically_equal_m': True, 'zero_mask_equal_a': True, 'zero_mask_equal_m': True, 'max_abs_a': 0.0, 'max_abs_m': 0.0}
{'pattern': 'tail', 'rows': 7, 'gate_a': False, 'gate_m': False, 'threshold': 0.0, 'numerically_equal_a': True, 'numerically_equal_m': True, 'zero_mask_equal_a': True, 'zero_mask_equal_m': True, 'max_abs_a': 0.0, 'max_abs_m': 0.0}
{'pattern': 'tail', 'rows': 7, 'gate_a': True, 'gate_m': False, 'threshold': 0.0, 'numerically_equal_a': True, 'numerically_equal_m': True, 'zero_mask_equal_a': True, 'zero_mask_equal_m': True, 'max_abs_a': 0.0, 'max_abs_m': 0.0}
{'pattern': 'tail', 'rows': 7, 'gate_a': False, 'gate_m': True, 'threshold': 0.01, 'numerically_equal_a': True, 'numerically_equal_m': True, 'zero_mask_equal_a': True, 'zero_mask_equal_m': True, 'max_abs_a': 0.0, 'max_abs_m': 0.0}
{'pattern': 'tail', 'rows': 7, 'gate_a': True, 'gate_m': True, 'threshold': 0.5, 'numerically_equal_a': True, 'numerically_equal_m': True, 'zero_mask_equal_a': True, 'zero_mask_equal_m': True, 'max_abs_a': 0.0, 'max_abs_m': 0.0}
